,dataset,missingness_type,missing_rate,method,rmse_mean,rank
290,qsar,mnar,0.2,median,1.2365370034341825,7.0
291,qsar,mnar,0.2,mice,0.7021518122905176,1.0
292,qsar,mnar,0.2,softimpute,1.0957775618261831,5.0
293,qsar,mnar,0.2,sudoku,0.8831233557541431,3.0
294,qsar,mnar,0.3,factorization,1.0796474538349774,4.0
295,qsar,mnar,0.3,knn,0.7247618203700108,2.0
296,qsar,mnar,0.3,mean,1.2032758048809131,6.0
297,qsar,mnar,0.3,median,1.2363661444499496,7.0
298,qsar,mnar,0.3,mice,0.7189821616369176,1.0
299,qsar,mnar,0.3,softimpute,1.102141807617424,5.0
300,qsar,mnar,0.3,sudoku,0.8944307028278752,3.0
301,qsar,mnar,0.4,factorization,1.087521679686403,4.0
302,qsar,mnar,0.4,knn,0.7260147015287103,1.0
303,qsar,mnar,0.4,mean,1.203621569494314,6.0
304,qsar,mnar,0.4,median,1.2366622087857575,7.0
305,qsar,mnar,0.4,mice,0.7566236837201011,2.0
306,qsar,mnar,0.4,softimpute,1.1039909468180404,5.0
307,qsar,mnar,0.4,sudoku,0.897377287102193,3.0
308,qsar,mnar,0.5,factorization,1.1027335714742363,4.0
309,qsar,mnar,0.5,knn,0.7250887086758293,1.0
310,qsar,mnar,0.5,mean,1.203505589174283,6.0
311,qsar,mnar,0.5,median,1.2365726808302469,7.0
312,qsar,mnar,0.5,mice,0.7847936881256128,2.0
313,qsar,mnar,0.5,softimpute,1.106558281941768,5.0
314,qsar,mnar,0.5,sudoku,0.8920733715303235,3.0
